1.473377,
1.541322,
1.431852,
0.674132,
0.395804,
0.155846,
-0.140937,
-0.153025,
-2.032061,
-0.143159,
-2.045708,
-0.230962,
-0.219100,
-0.179279,
-0.217332,
-0.199153,
