-2.895190,
-3.809965,
-4.526675,
-5.184306,
-5.071401,
-4.926999,
-4.741260,
-4.404450,
-7.576597,
-4.215055,
-7.608001,
-3.869430,
-3.512437,
-3.175962,
-2.891030,
-2.539844,
